test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability_x,closing_fair_odds_x,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability_y,closing_fair_odds_y,won,profit
2025-10,data\historical_csv\football-data\2526\G1.csv:41,data\historical_csv\football-data\2526\G1.csv,41,2025-10-05,G1,PAOK,Olympiakos,draw,0.2979943299668136,0.2931285101807588,3.5186,3.57,3.14019759220181,0.0028658197860547,8,0.0,PS,3.0-4.0,sportsbook,2.827375497869962,2.827375497869962,0.11,0.2922394574486158,True,0.2967774746867631,3.3695279638572986,existing_one_tenth_kelly,home,4.424122243284479,True,0.2967774746867631,3.3695279638572986,False,-0.11
2025-10,data\historical_csv\football-data\2526\E1.csv:121,data\historical_csv\football-data\2526\E1.csv,121,2025-10-21,E1,Blackburn,Sheffield United,home,0.395155135179774,0.3902685810039052,2.568,2.6,0.2209716018028773,0.0028865541758687,8,0.0,BMGM,2.0-3.0,sportsbook,1.7352800182941177,1.7352800182941177,0.11,0.3961654206319864,True,0.3702453797280611,2.700911489387073,existing_one_tenth_kelly,away,-4.920986485833911,False,0.3702453797280611,2.700911489387073,False,-0.11
2025-10,data\historical_csv\football-data\2526\T1.csv:82,data\historical_csv\football-data\2526\T1.csv,82,2025-10-22,T1,Rizespor,Buyuksehyr,draw,0.2901652296449173,0.282630398392146,3.548,3.6,0.2772653495334065,0.0055348312527713,8,0.0,BMGM,3.0-4.0,sportsbook,3.18251676502408,3.18251676502408,0.12,0.2908188183907105,True,0.2772610138813188,3.606709742567877,existing_one_tenth_kelly,draw,-1.6277922749080909,False,0.2772610138813188,3.606709742567877,True,0.31
2025-10,data\historical_csv\football-data\2526\B1.csv:90,data\historical_csv\football-data\2526\B1.csv,90,2025-10-24,B1,Charleroi,Anderlecht,home,0.3577911552626501,0.3477430706724538,3.0874,3.13,7.362195639413405,0.0080480845901962,8,0.0,PS,3.0-4.0,sportsbook,6.622241253191211,6.622241253191211,0.32,0.3453463796501627,True,0.3482359631268029,2.871616104841736,existing_one_tenth_kelly,home,7.514371255769103,True,0.3482359631268029,2.871616104841736,True,0.67
2025-10,data\historical_csv\football-data\2526\SP2.csv:111,data\historical_csv\football-data\2526\SP2.csv,111,2025-10-24,SP2,Huesca,Las Palmas,home,0.3232623234376097,0.3173925983847656,3.2834,3.33,4.212685753653922,0.0038697250528441,8,0.0,PS,3.0-4.0,sportsbook,3.1674317328116235,3.1674317328116235,0.14,0.3142091482390559,True,0.3270221695039091,3.05789666039154,existing_one_tenth_kelly,draw,7.374459134913525,True,0.3270221695039091,3.05789666039154,False,-0.14
2025-10,data\historical_csv\football-data\2526\F2.csv:99,data\historical_csv\football-data\2526\F2.csv,99,2025-10-25,F2,Annecy,St Etienne,home,0.2711367613210543,0.2577143955622994,4.0478000000000005,4.11,4.317633035707602,0.0114223657587548,8,0.0,PS,4.0-5.0,sportsbook,4.343516681559503,4.343516681559503,0.14,0.2577783405345113,True,0.2289101474239691,4.3685263028024695,existing_one_tenth_kelly,home,-7.341750525725765,False,0.2289101474239691,4.3685263028024695,True,0.43
2025-10,data\historical_csv\football-data\2526\T1.csv:84,data\historical_csv\football-data\2526\T1.csv,84,2025-10-25,T1,Kocaelispor,Alanyaspor,away,0.321693946152663,0.3100436026550287,3.2809500000000003,3.45,1.7237558131016684,0.0096503434976343,8,0.05,BFE,3.0-4.0,exchange,2.40905857023769,2.40905857023769,0.11,0.3121323353609098,True,0.3041770840996449,3.2875586369695475,existing_one_tenth_kelly,home,-0.2010195923270008,False,0.3041770840996449,3.2875586369695475,False,-0.11
2025-10,data\historical_csv\football-data\2526\SC0.csv:53,data\historical_csv\football-data\2526\SC0.csv,53,2025-10-25,SC0,Livingston,Motherwell,away,0.4533829481524506,0.4459772255615201,2.2936,2.32,2.289336454790236,0.0054057225909304,8,0.0,PS,2.0-3.0,sportsbook,1.352824237897451,1.352824237897451,0.1,0.4418940714941465,True,0.4257439299601354,2.348829729865168,existing_one_tenth_kelly,away,-2.351372224343351,False,0.4257439299601354,2.348829729865168,True,0.13
2025-10,data\historical_csv\football-data\2526\SP2.csv:118,data\historical_csv\football-data\2526\SP2.csv,118,2025-10-26,SP2,Malaga,Andorra,away,0.3006769352956935,0.2938413046612447,3.6558,3.71,7.42250415805783,0.0048356306344488,8,0.0,PS,3.0-4.0,sportsbook,5.671625718357129,5.671625718357129,0.21,0.2890519878504216,True,0.2581814048222809,3.8732456378427007,existing_one_tenth_kelly,home,-5.614042025070553,False,0.2581814048222809,3.8732456378427007,False,-0.21
2025-10,data\historical_csv\football-data\2526\SP2.csv:119,data\historical_csv\football-data\2526\SP2.csv,119,2025-10-26,SP2,Almeria,Castellon,away,0.2682081161683699,0.260297829288861,4.087,4.15,6.3837228303574856,0.0059102868795088,8,0.0,PS,4.0-5.0,sportsbook,5.082088866772407,5.082088866772407,0.16,0.2571130141100377,True,0.2659068236313129,3.760715826482616,existing_one_tenth_kelly,home,8.676118818117583,True,0.2659068236313129,3.760715826482616,False,-0.16
2025-10,data\historical_csv\football-data\2526\T1.csv:91,data\historical_csv\football-data\2526\T1.csv,91,2025-10-27,T1,Samsunspor,Rizespor,away,0.2436122843811455,0.239091889228562,4.444700000000001,4.7,6.269172005418988,0.0025203951525835,8,0.05,BFE,4.0-5.0,exchange,6.112788499055307,6.112788499055307,0.18,0.2387400465701966,True,0.231177209994798,4.3256859100536,existing_one_tenth_kelly,draw,2.7513345263879163,True,0.231177209994798,4.3256859100536,False,-0.18
2025-10,data\historical_csv\football-data\2526\F2.csv:111,data\historical_csv\football-data\2526\F2.csv,111,2025-10-31,F2,Guingamp,Laval,away,0.2391304347826087,0.2252389286239294,4.6309000000000005,4.9,4.3058954564555,0.0118915061586792,7,0.05,BFE,4.0-5.0,exchange,5.159399712780543,5.159399712780543,0.14,0.2270819920809789,True,0.2029655587067074,4.926944287355846,existing_one_tenth_kelly,home,-6.008679418510832,False,0.2029655587067074,4.926944287355846,False,-0.14
2025-10,data\historical_csv\football-data\2526\T1.csv:92,data\historical_csv\football-data\2526\T1.csv,92,2025-10-31,T1,Buyuksehyr,Kocaelispor,away,0.2211154476931223,0.2152834111684595,4.8171,5.1,3.704171993958649,0.0038320365246628,7,0.05,BFE,4.0-5.0,exchange,3.758570907750344,3.758570907750344,0.1,0.2153963399301454,True,0.2600948095056724,3.844751849914141,existing_one_tenth_kelly,home,25.290270686977443,True,0.2600948095056724,3.844751849914141,False,-0.1
2025-11,data\historical_csv\football-data\2526\B1.csv:104,data\historical_csv\football-data\2526\B1.csv,104,2025-11-02,B1,St Truiden,Antwerp,away,0.277940908734857,0.2698996094017852,3.8861,4.1,4.885687209627743,0.0060412993330718,6,0.05,BFE,3.0-4.0,exchange,3.5584130581752875,3.5584130581752875,0.12,0.2664841693681977,True,0.2823218834062488,3.542056279643912,existing_one_tenth_kelly,home,9.71310711050235,True,0.2823218834062488,3.542056279643912,False,-0.12
2025-11,data\historical_csv\football-data\2526\F1.csv:98,data\historical_csv\football-data\2526\F1.csv,98,2025-11-02,F1,Nantes,Metz,away,0.2396814498100606,0.2355267843197331,4.283,4.35,0.8761217241416874,0.0021546654903275,8,0.0,BMGM,4.0-5.0,sportsbook,3.226016461119004,3.226016461119004,0.1,0.2410133468622904,True,0.2785145888594165,3.5904761904761897,existing_one_tenth_kelly,away,19.287798408488065,True,0.2785145888594165,3.5904761904761897,True,0.33
