date,league,home_team,away_team,outcome,actual_result,odds_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-09-21,I2,Cosenza,Sassuolo,draw,away,"[2.8,3.5)",0.318009,-0.033727,3.2,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-09
2024-09-27,I2,Cittadella,Frosinone,draw,away,"[2.8,3.5)",0.31911,-0.015054,3.25,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-09
2024-09-28,I2,Sassuolo,Spezia,draw,draw,"[2.8,3.5)",0.31286,-0.035365,3.25,1.0,True,2.25,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-09
2024-09-28,I2,Carrarese,Reggiana,draw,draw,"[2.8,3.5)",0.314198,-0.045922,3.2,1.0,True,2.2,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-09
2024-09-29,I2,Juve Stabia,Pisa,draw,home,"[2.8,3.5)",0.318453,-0.032308,3.2,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-09
2024-10-04,I2,Sampdoria,Juve Stabia,draw,away,"[2.8,3.5)",0.316553,-0.03842,3.2,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-10
2024-10-06,I2,Cosenza,Sudtirol,draw,away,"[2.8,3.5)",0.354917,-0.017313,2.9,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-10
2024-10-19,E3,Colchester,Cheltenham,home,away,"[1.8,2.2)",0.538386,-0.041168,1.83,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-10
2024-10-19,E3,Carlisle,Harrogate,home,draw,"[1.8,2.2)",0.517277,-0.044599,1.9,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-10
2024-10-19,E3,Port Vale,Fleetwood Town,home,home,"[1.8,2.2)",0.489699,-0.049471,2.0,1.0,True,1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-10
2024-10-22,E3,Chesterfield,Colchester,home,draw,"[1.8,2.2)",0.53699,-0.033272,1.85,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-10
