test_month,date,league,match,outcome,probability,conservative_probability,odds,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,stake,actual_outcome,profit,won,source_file,source_row
2025-11,2025-11-30,B1,Genk v Oud-Heverlee Leuven,draw,0.22395923291226058,0.2104094827585682,5.2,0.07224672413766342,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.008549750153692375,0.56,home,-0.56,False,data\historical_csv\football-data\2526\B1.csv,127
2025-11,2025-11-30,SP2,Cordoba v Cadiz,away,0.26119095272995085,0.2496407418699892,4.34,0.06177200332143795,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.006550210859961645,0.62,away,2.07,True,data\historical_csv\football-data\2526\SP2.csv,175
2025-11,2025-11-30,I1,Atalanta v Fiorentina,away,0.20199632688231567,0.19301446984829823,5.4,0.021432574437194374,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.00398185703401744,0.24,home,-0.24,False,data\historical_csv\football-data\2526\I1.csv,129
2026-02,2026-02-01,B1,Oud-Heverlee Leuven v Mechelen,away,0.26649493568298266,0.2551854596657743,4.2,0.05034335198432682,BFE,"['B365', 'BFD', 'BMGM', 'BW']",0.004206317344805598,0.56,draw,-0.56,False,data\historical_csv\football-data\2526\B1.csv,185
2026-02,2026-02-07,B1,Charleroi v Cercle Brugge,away,0.26080995992985967,0.24852623804968274,4.3,0.0472895671413629,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.004855814586784624,0.52,away,1.72,True,data\historical_csv\football-data\2526\B1.csv,188
2026-02,2026-02-07,I2,Modena v Sampdoria,away,0.20679832059933648,0.19106689418235434,5.5,0.029850559642889962,B365,"['BFD', 'BFE', 'BMGM', 'BV', 'BW']",0.007154284277988095,0.28,away,1.26,True,data\historical_csv\football-data\2526\I2.csv,228
2026-02,2026-02-07,N1,Zwolle v Volendam,away,0.20359164471309107,0.18993180101438897,5.5,0.02373240746755667,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.005773229132468068,0.25,away,1.12,True,data\historical_csv\football-data\2526\N1.csv,191
2026-02,2026-02-14,I2,Sampdoria v Padova,away,0.21240298204921057,0.20178151714024906,5.2,0.02827861134670928,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.003747643272641004,0.29,home,-0.29,False,data\historical_csv\football-data\2526\I2.csv,244
2026-02,2026-02-14,I2,Catanzaro v Mantova,away,0.2527229467993477,0.24262068840129644,4.3,0.02240358092306316,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0034015055987008332,0.33,home,-0.33,False,data\historical_csv\football-data\2526\I2.csv,245
2026-02,2026-02-21,E3,Notts County v Tranmere,away,0.2054546726108896,0.19416437995006397,5.8,0.10363033563616364,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.004193528440550411,0.66,home,-0.66,False,data\historical_csv\football-data\2526\E3.csv,392
2026-03,2026-03-01,T1,Samsunspor v Gaziantep,away,0.20453523072718297,0.1961328961978371,5.5,0.05715631050634218,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0034023345293458496,0.44,draw,-0.44,False,data\historical_csv\football-data\2526\T1.csv,217
2026-03,2026-03-01,B1,Cercle Brugge v Dender,away,0.20823451749345984,0.20123846223105982,5.3,0.04523257282812465,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0019960552624000197,0.39,draw,-0.39,False,data\historical_csv\football-data\2526\B1.csv,217
