month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2022-11,ABSTAIN,no_positive_feature_edge,2115.0,54.0,"{'passed': True, 'reason': None, 'fit_rows': 1545, 'validation_rows': 570, 'market': {'matches': 190, 'log_loss': 0.965386, 'brier': 0.57462}, 'model': {'matches': 190, 'log_loss': 0.963106, 'brier': 0.573678}, 'log_loss_improvement': 0.00228, 'brier_improvement': 0.000942}",0.0,0.0
2022-12,ABSTAIN,no_candidates,,,,,
2023-01,ABSTAIN,no_candidates,,,,,
2023-02,ABSTAIN,no_candidates,,,,,
2023-03,ABSTAIN,no_candidates,,,,,
2023-04,INVEST,,1713.0,93.0,"{'passed': True, 'reason': None, 'fit_rows': 1539, 'validation_rows': 174, 'market': {'matches': 58, 'log_loss': 1.002789, 'brier': 0.60034}, 'model': {'matches': 58, 'log_loss': 0.995373, 'brier': 0.596311}, 'log_loss_improvement': 0.007416, 'brier_improvement': 0.004029}",6.0,0.0272
2023-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,1731.0,108.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1584, 'validation_rows': 147, 'market': {'matches': 49, 'log_loss': 1.029913, 'brier': 0.618046}, 'model': {'matches': 49, 'log_loss': 1.031545, 'brier': 0.619361}, 'log_loss_improvement': -0.001632, 'brier_improvement': -0.001315}",,
2023-06,INVEST,,1749.0,66.0,"{'passed': True, 'reason': None, 'fit_rows': 1548, 'validation_rows': 201, 'market': {'matches': 67, 'log_loss': 0.955651, 'brier': 0.566214}, 'model': {'matches': 67, 'log_loss': 0.954132, 'brier': 0.566076}, 'log_loss_improvement': 0.001519, 'brier_improvement': 0.000138}",3.0,0.0258
2023-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1716.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 267, 'market': {'matches': 89, 'log_loss': 0.975365, 'brier': 0.580295}, 'model': {'matches': 89, 'log_loss': 0.980399, 'brier': 0.582911}, 'log_loss_improvement': -0.005034, 'brier_improvement': -0.002616}",,
2023-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1839.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 390, 'market': {'matches': 130, 'log_loss': 0.952218, 'brier': 0.561957}, 'model': {'matches': 130, 'log_loss': 0.960856, 'brier': 0.565853}, 'log_loss_improvement': -0.008638, 'brier_improvement': -0.003896}",,
2023-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1911.0,75.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 462, 'market': {'matches': 154, 'log_loss': 0.959821, 'brier': 0.568687}, 'model': {'matches': 154, 'log_loss': 0.967119, 'brier': 0.572006}, 'log_loss_improvement': -0.007298, 'brier_improvement': -0.003319}",,
2023-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1986.0,87.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 537, 'market': {'matches': 179, 'log_loss': 0.947708, 'brier': 0.560268}, 'model': {'matches': 179, 'log_loss': 0.951944, 'brier': 0.56275}, 'log_loss_improvement': -0.004236, 'brier_improvement': -0.002482}",,
2023-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,2073.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1542, 'validation_rows': 531, 'market': {'matches': 177, 'log_loss': 0.949434, 'brier': 0.561427}, 'model': {'matches': 177, 'log_loss': 0.956613, 'brier': 0.565284}, 'log_loss_improvement': -0.007179, 'brier_improvement': -0.003857}",,
2023-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,2022.0,30.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1527, 'validation_rows': 495, 'market': {'matches': 165, 'log_loss': 0.950436, 'brier': 0.562025}, 'model': {'matches': 165, 'log_loss': 0.959175, 'brier': 0.566348}, 'log_loss_improvement': -0.008739, 'brier_improvement': -0.004323}",,
2024-01,ABSTAIN,no_candidates,,,,,
2024-02,ABSTAIN,no_candidates,,,,,
2024-03,ABSTAIN,model_did_not_beat_market_on_prior_validation,1767.0,3.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1503, 'validation_rows': 264, 'market': {'matches': 88, 'log_loss': 0.960643, 'brier': 0.568831}, 'model': {'matches': 88, 'log_loss': 0.958705, 'brier': 0.570066}, 'log_loss_improvement': 0.001938, 'brier_improvement': -0.001235}",,
2024-04,ABSTAIN,model_did_not_beat_market_on_prior_validation,1698.0,120.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1506, 'validation_rows': 192, 'market': {'matches': 64, 'log_loss': 1.000798, 'brier': 0.59661}, 'model': {'matches': 64, 'log_loss': 1.003186, 'brier': 0.59833}, 'log_loss_improvement': -0.002388, 'brier_improvement': -0.00172}",,
