date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2026-01-30,2,20.0,2.8,1285.5,0.0,NORMAL,1.0,100.0,,
2026-01-31,10,100.0,-10.1,1275.4,10.1,NORMAL,1.0,100.0,,
2026-02-01,1,10.0,6.2,1281.6,3.9,NORMAL,1.0,100.0,,
2026-02-02,0,0.0,0.0,1281.6,3.9,NORMAL,1.0,100.0,,
2026-02-03,3,30.0,-15.5,1266.1,19.4,NORMAL,1.0,100.0,,
2026-02-04,0,0.0,0.0,1266.1,19.4,NORMAL,1.0,100.0,,
2026-02-05,0,0.0,0.0,1266.1,19.4,NORMAL,1.0,100.0,,
2026-02-06,2,20.0,3.3,1269.4,16.1,NORMAL,1.0,100.0,,
2026-02-07,8,80.0,67.6,1337.0,0.0,NORMAL,1.0,100.0,,
2026-02-08,2,20.0,-6.6,1330.4,6.6,NORMAL,1.0,100.0,,
2026-02-09,2,20.0,0.7,1331.1,5.9,NORMAL,1.0,100.0,,
2026-02-10,2,20.0,-20.0,1311.1,25.9,NORMAL,1.0,100.0,,
2026-02-11,0,0.0,0.0,1311.1,25.9,NORMAL,1.0,100.0,,
2026-02-12,0,0.0,0.0,1311.1,25.9,NORMAL,1.0,100.0,,
2026-02-13,1,10.0,10.5,1321.6,15.4,NORMAL,1.0,100.0,,
2026-02-14,10,100.0,0.6,1322.2,14.8,NORMAL,1.0,100.0,,
2026-02-15,5,50.0,-5.7,1316.5,20.5,NORMAL,1.0,100.0,,
2026-02-16,1,10.0,-10.0,1306.5,30.5,NORMAL,1.0,100.0,,
2026-02-17,4,40.0,-10.7,1295.8,41.2,NORMAL,1.0,100.0,,
2026-02-18,0,0.0,0.0,1295.8,41.2,NORMAL,1.0,100.0,,
2026-02-20,4,40.0,-16.3,1279.5,57.5,NORMAL,1.0,100.0,,
2026-02-21,9,90.0,-35.7,1243.8,93.2,NORMAL,1.0,100.0,,
2026-02-22,3,30.0,18.8,1262.6,74.4,NORMAL,1.0,100.0,,
2026-02-23,1,10.0,-10.0,1252.6,84.4,NORMAL,1.0,100.0,,
2026-02-24,1,10.0,13.0,1265.6,71.4,NORMAL,1.0,100.0,,
2026-02-25,1,10.0,2.1,1267.7,69.3,NORMAL,1.0,100.0,,
2026-02-27,0,0.0,0.0,1267.7,69.3,NORMAL,1.0,100.0,,
2026-02-28,10,100.0,13.1,1280.8,56.2,NORMAL,1.0,100.0,,
