month,decision,reason,prior_candidates,candidate_count,probability_validation
2021-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,2664.0,147.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2121, 'validation_rows': 543, 'market': {'matches': 181, 'log_loss': 1.040805, 'brier': 0.627899}, 'model': {'matches': 181, 'log_loss': 1.041271, 'brier': 0.629257}, 'log_loss_improvement': -0.000466, 'brier_improvement': -0.001358, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,2811.0,111.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2280, 'validation_rows': 531, 'market': {'matches': 177, 'log_loss': 1.058853, 'brier': 0.640505}, 'model': {'matches': 177, 'log_loss': 1.06237, 'brier': 0.643189}, 'log_loss_improvement': -0.003517, 'brier_improvement': -0.002684, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,2922.0,213.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2280, 'validation_rows': 642, 'market': {'matches': 214, 'log_loss': 1.055581, 'brier': 0.638227}, 'model': {'matches': 214, 'log_loss': 1.058397, 'brier': 0.640352}, 'log_loss_improvement': -0.002816, 'brier_improvement': -0.002125, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,3105.0,201.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2250, 'validation_rows': 855, 'market': {'matches': 285, 'log_loss': 1.048373, 'brier': 0.633209}, 'model': {'matches': 285, 'log_loss': 1.048863, 'brier': 0.633762}, 'log_loss_improvement': -0.00049, 'brier_improvement': -0.000553, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-12,ABSTAIN,selected_tail_did_not_show_prior_edge,3156.0,84.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2130, 'validation_rows': 1026, 'market': {'matches': 342, 'log_loss': 1.011116, 'brier': 0.607556}, 'model': {'matches': 342, 'log_loss': 1.008792, 'brier': 0.606397}, 'log_loss_improvement': 0.002324, 'brier_improvement': 0.001159, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2022-01,ABSTAIN,no_candidates,,,
2022-02,ABSTAIN,no_candidates,,,
2022-03,ABSTAIN,no_candidates,,,
2022-04,ABSTAIN,model_did_not_beat_market_on_prior_validation,2775.0,102.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 498, 'market': {'matches': 166, 'log_loss': 0.958101, 'brier': 0.57081}, 'model': {'matches': 166, 'log_loss': 0.958755, 'brier': 0.571802}, 'log_loss_improvement': -0.000654, 'brier_improvement': -0.000992, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2022-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,2658.0,135.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2271, 'validation_rows': 387, 'market': {'matches': 129, 'log_loss': 0.959768, 'brier': 0.571965}, 'model': {'matches': 129, 'log_loss': 0.960808, 'brier': 0.573133}, 'log_loss_improvement': -0.00104, 'brier_improvement': -0.001168, 'selected_tail': {'bets': 10, 'profit_units': -2.21, 'hit_rate': 0.2, 'average_market_probability': 0.251239, 'edge_vs_market_probability': -0.051239, 'passed': False}}"
2022-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,2601.0,183.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2280, 'validation_rows': 321, 'market': {'matches': 107, 'log_loss': 1.036625, 'brier': 0.625766}, 'model': {'matches': 107, 'log_loss': 1.036948, 'brier': 0.624205}, 'log_loss_improvement': -0.000323, 'brier_improvement': 0.001561, 'selected_tail': {'bets': 9, 'profit_units': 4.59, 'hit_rate': 0.444444, 'average_market_probability': 0.26776, 'edge_vs_market_probability': 0.176685, 'passed': False}}"
2022-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,2700.0,177.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2280, 'validation_rows': 420, 'market': {'matches': 140, 'log_loss': 1.061348, 'brier': 0.64287}, 'model': {'matches': 140, 'log_loss': 1.063079, 'brier': 0.642688}, 'log_loss_improvement': -0.001731, 'brier_improvement': 0.000182, 'selected_tail': {'bets': 19, 'profit_units': 3.55, 'hit_rate': 0.368421, 'average_market_probability': 0.288531, 'edge_vs_market_probability': 0.07989, 'passed': False}}"
2022-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,2877.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2280, 'validation_rows': 597, 'market': {'matches': 199, 'log_loss': 1.023712, 'brier': 0.614701}, 'model': {'matches': 199, 'log_loss': 1.026349, 'brier': 0.615097}, 'log_loss_improvement': -0.002637, 'brier_improvement': -0.000396, 'selected_tail': {'bets': 25, 'profit_units': 6.78, 'hit_rate': 0.4, 'average_market_probability': 0.287264, 'edge_vs_market_probability': 0.112736, 'passed': True}}"
2022-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,3000.0,120.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2280, 'validation_rows': 720, 'market': {'matches': 240, 'log_loss': 1.022527, 'brier': 0.612952}, 'model': {'matches': 240, 'log_loss': 1.026361, 'brier': 0.613738}, 'log_loss_improvement': -0.003834, 'brier_improvement': -0.000786, 'selected_tail': {'bets': 32, 'profit_units': -0.22, 'hit_rate': 0.3125, 'average_market_probability': 0.289571, 'edge_vs_market_probability': 0.022929, 'passed': False}}"
