month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,2894,8,7,0.88,0.33,37.5,3100.0,437.0,100.0,0.0,ridge,5.0,7.904,,,0.0,0.227748,0.0,4.2579,1.0,{'draw': 8}
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,3326,3,3,0.46,-0.46,-100.0,3000.0,431.0,100.0,0.0,ridge,5.0,7.2527,,,0.0,0.238035,0.0,-0.2312,0.3333,{'draw': 3}
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,3753,5,3,0.75,0.06,8.0,3100.0,309.0,100.0,0.0,ridge,5.0,7.5328,,,0.0,0.23639,0.0,-0.4935,0.4,"{'draw': 3, 'away': 1, 'home': 1}"
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,2922,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,2940,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2025-10,2025-01-01..2025-09-30,ABSTAIN_INNER_VALIDATION,2909,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2025-11,2025-02-01..2025-10-31,ABSTAIN_INNER_VALIDATION,2889,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,2869,10,8,1.31,-0.4,-30.53,3100.0,404.0,10.0,0.0,ridge,5.0,8.2595,,,0.0,0.226545,0.0,12.7669,0.9,"{'away': 8, 'home': 2}"
2026-01,2025-04-01..2025-12-31,FROZEN_MODEL_EVALUATED,2836,11,8,2.24,1.1,49.11,3100.0,430.0,1.0,0.0,ridge,5.0,8.1348,,,0.0,0.229527,0.0,4.716,0.8182,"{'away': 10, 'home': 1}"
2026-02,2025-05-01..2026-01-31,FROZEN_MODEL_EVALUATED,2835,1,1,0.11,0.39,354.55,2800.0,391.0,100.0,0.0,ridge,5.0,8.1579,,,0.0,0.225853,0.0,4.5603,1.0,{'home': 1}
2026-03,2025-06-01..2026-02-28,FROZEN_MODEL_EVALUATED,2917,4,3,0.51,-0.06,-11.76,3100.0,348.0,100.0,0.0,ridge,5.0,8.3246,,,0.0,0.226352,0.0,2.0724,0.5,{'away': 4}
2026-04,2025-07-01..2026-03-31,FROZEN_MODEL_EVALUATED,3260,9,6,1.41,1.17,82.98,3000.0,331.0,1.0,0.0,ridge,5.0,9.0193,,,0.0,0.233759,0.0,3.5957,0.5556,"{'away': 6, 'home': 3}"
2026-05,2025-08-01..2026-04-30,FROZEN_MODEL_EVALUATED,3587,9,6,1.37,0.61,44.53,3100.0,247.0,1.0,0.0,ridge,5.0,8.5654,,,0.0,0.225179,0.0,-6.9322,0.2222,"{'away': 5, 'home': 4}"
