rules,rule_count,max_pairwise_monthly_profit_corr,bets,staked,profit,roi_pct,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
"['AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)']",3,0.0891,2022,2022.0,132.07,6.53,96,63,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'AVG_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)']",3,0.0923,2279,2279.0,147.76,6.48,88,66,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.0955,2225,2225.0,144.16,6.48,87,67,25,14,25,14,0.56
"['AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.1751,1811,1811.0,114.92,6.35,87,60,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)']",3,0.0843,1725,1725.0,109.15,6.33,87,65,25,14,25,14,0.56
"['AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)']",3,0.1381,1682,1682.0,106.0,6.3,90,63,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.0955,1991,1991.0,123.1,6.18,82,65,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.0541,1551,1551.0,93.4,6.02,87,65,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.173,1309,1309.0,53.08,4.06,92,60,25,14,25,14,0.56
"['PS_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)']",3,0.1906,1855,1855.0,214.47,11.56,79,57,25,13,25,13,0.52
