label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_CLOSE_train18_n240_ev0p02_top3_ridge35,AVG_CLOSE,18,240,0.02,3,35.0,2044,851,851,725.4,8.52,201.9,26,15,6,3,6,3,0.5
AVG_CLOSE_train18_n120_ev0p0_top1_ridge35,AVG_CLOSE,18,120,0.0,1,35.0,2044,435,435,361.8,8.32,177.8,23,18,6,3,6,3,0.5
AVG_CLOSE_train18_n240_ev0p0_top1_ridge35,AVG_CLOSE,18,240,0.0,1,35.0,2044,435,435,361.8,8.32,177.8,23,18,6,3,6,3,0.5
AVG_CLOSE_train18_n120_evneg0p01_top3_ridge35,AVG_CLOSE,18,120,-0.01,3,35.0,2044,915,915,759.6,8.3,199.4,25,16,6,3,6,3,0.5
AVG_CLOSE_train18_n240_evneg0p01_top3_ridge35,AVG_CLOSE,18,240,-0.01,3,35.0,2044,915,915,759.6,8.3,199.4,25,16,6,3,6,3,0.5
AVG_CLOSE_train30_n120_ev0p02_top3_ridge35,AVG_CLOSE,30,120,0.02,3,35.0,2044,896,896,739.8,8.26,201.9,26,15,6,3,6,3,0.5
AVG_CLOSE_train30_n240_ev0p02_top3_ridge35,AVG_CLOSE,30,240,0.02,3,35.0,2044,896,896,739.8,8.26,201.9,26,15,6,3,6,3,0.5
AVG_CLOSE_train18_n120_ev0p0_top3_ridge35,AVG_CLOSE,18,120,0.0,3,35.0,2044,900,900,727.2,8.08,199.4,25,16,6,3,6,3,0.5
AVG_CLOSE_train18_n240_ev0p0_top3_ridge35,AVG_CLOSE,18,240,0.0,3,35.0,2044,900,900,727.2,8.08,199.4,25,16,6,3,6,3,0.5
AVG_CLOSE_train30_n120_evneg0p01_top3_ridge35,AVG_CLOSE,30,120,-0.01,3,35.0,2044,931,931,745.2,8.0,181.8,25,16,6,3,6,3,0.5
AVG_CLOSE_train30_n240_evneg0p01_top3_ridge35,AVG_CLOSE,30,240,-0.01,3,35.0,2044,931,931,745.2,8.0,181.8,25,16,6,3,6,3,0.5
AVG_CLOSE_train18_n120_evneg0p01_top1_ridge35,AVG_CLOSE,18,120,-0.01,1,35.0,2044,439,439,349.6,7.96,177.8,23,18,6,3,6,3,0.5
AVG_CLOSE_train18_n240_evneg0p01_top1_ridge35,AVG_CLOSE,18,240,-0.01,1,35.0,2044,439,439,349.6,7.96,177.8,23,18,6,3,6,3,0.5
AVG_OPEN_train30_n120_ev0p0_top1_ridge35,AVG_OPEN,30,120,0.0,1,35.0,2063,438,438,549.1,12.54,129.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p0_top1_ridge35,AVG_OPEN,30,240,0.0,1,35.0,2063,438,438,549.1,12.54,129.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train30_n120_evneg0p01_top1_ridge35,AVG_OPEN,30,120,-0.01,1,35.0,2063,443,443,545.1,12.3,129.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train30_n240_evneg0p01_top1_ridge35,AVG_OPEN,30,240,-0.01,1,35.0,2063,443,443,545.1,12.3,129.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train30_n120_ev0p04_top3_ridge35,AVG_OPEN,30,120,0.04,3,35.0,2063,877,877,979.0,11.16,166.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p04_top3_ridge35,AVG_OPEN,30,240,0.04,3,35.0,2063,877,877,979.0,11.16,166.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train42_n120_ev0p0_top1_ridge35,AVG_OPEN,42,120,0.0,1,35.0,2063,441,441,473.7,10.74,129.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train42_n240_ev0p0_top1_ridge35,AVG_OPEN,42,240,0.0,1,35.0,2063,441,441,473.7,10.74,129.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train42_n120_evneg0p01_top1_ridge35,AVG_OPEN,42,120,-0.01,1,35.0,2063,446,446,469.7,10.53,129.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train42_n240_evneg0p01_top1_ridge35,AVG_OPEN,42,240,-0.01,1,35.0,2063,446,446,469.7,10.53,129.2,23,18,6,2,6,2,0.3333
AVG_OPEN_train30_n120_ev0p02_top3_ridge35,AVG_OPEN,30,120,0.02,3,35.0,2063,902,902,946.1,10.49,166.2,22,19,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p02_top3_ridge35,AVG_OPEN,30,240,0.02,3,35.0,2063,902,902,946.1,10.49,166.2,22,19,6,2,6,2,0.3333
AVG_OPEN_train42_n120_ev0p04_top1_ridge10,AVG_OPEN,42,120,0.04,1,10.0,2063,420,420,433.6,10.32,164.1,27,14,6,2,6,2,0.3333
AVG_OPEN_train42_n240_ev0p04_top1_ridge10,AVG_OPEN,42,240,0.04,1,10.0,2063,420,420,433.6,10.32,164.1,27,14,6,2,6,2,0.3333
AVG_OPEN_train30_n120_ev0p0_top3_ridge35,AVG_OPEN,30,120,0.0,3,35.0,2063,929,929,918.9,9.89,198.1,22,19,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p0_top3_ridge35,AVG_OPEN,30,240,0.0,3,35.0,2063,929,929,918.9,9.89,198.1,22,19,6,2,6,2,0.3333
